companyname,url,item,flg
丸八株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/048.html,繊維強化複合材料およびその応用製品（炭素繊維を用いたスーツケースなど）,
三谷コンピュータ株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/161.html,e-CLEAR 下水道受益者負担金システム,国内シェア1位
三谷セキサン株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/180.html,大口径高強度コンクリートパイルと高支持力工法,国内シェア1位
ミツカワ株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/049.html,滑り止めニットテキスタイル,
株式会社ミツヤ,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/aerospace/050.html,航空機エンジン構造案内翼部材用炭素繊維複合材料,
株式会社ミツヤ,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/aerospace/050.html,インクジェットクロス「Tifone®（ティフォネ）」,
株式会社ミルコン,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/085.html,苔・藻類が早期に自生するコンクリート製品「JBロック」,
株式会社八木熊,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/079.html,樹脂製の防護柵、区分帯（商品名：KYプラガード、KYブロック）,
山金工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/medical/182.html,環境に配慮した注目の塗装技術！,
株式会社山﨑ビロード,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/051.html,超薄手ベルベット,
山田技研株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/152.html,路面の凍結・積雪状態を監視するセンサー,
ヨシダ工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/medical/136.html,医療機器用金属精密部品,
ヨシダ工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/medical/136.html,フルート・オーボエ・ピッコロ・サックス向け木管楽器部品,
株式会社吉光工業,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/87.html,瓦で織る壁「Woven Ceramic」,
株式会社ルネッサ,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/121.html,レトルト食品や医療用点滴バッグ製造用　滅菌・搬送装置,
